Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,,
Terrence Hayes,David Linn,Steph Routh,,,
Jamie Dunphy,Timur Ender,Candace Avalos,Cayle Tern,,
Candace Avalos,Loretta Smith,Terrence Hayes,Steph Routh,Jamie Dunphy,Joe Furi
Candace Avalos,Cayle Tern,Timur Ender,,,
Steph Routh,Jamie Dunphy,Candace Avalos,Timur Ender,Cayle Tern,David Linn
Noah Ernst,Joe Allen,Doug Clove,Michael (Mike) Sands,Terrence Hayes,Jamie Dunphy
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Doug Clove,Joe Allen,Joe Furi,Deian Salazar,Cayle Tern,Steph Routh
Timur Ender,Joe Allen,Doug Clove,,,
Doug Clove,Timur Ender,Candace Avalos,David Linn,Noah Ernst,Deian Salazar
Jamie Dunphy,Steph Routh,Candace Avalos,,,
Terrence Hayes,Timur Ender,Steph Routh,David Linn,Thomas Shervey,Noah Ernst
Terrence Hayes,Deian Salazar,,,,
Michael (Mike) Sands,,,,,
Jamie Dunphy,Steph Routh,David Linn,,,
Candace Avalos,Cayle Tern,Timur Ender,,,
Terrence Hayes,Noah Ernst,Joe Allen,Doug Clove,,
Steph Routh,Loretta Smith,Terrence Hayes,Timur Ender,Cayle Tern,
Jamie Dunphy,Candace Avalos,Steph Routh,,,
Terrence Hayes,Loretta Smith,Jamie Dunphy,,,
Terrence Hayes,Steph Routh,Candace Avalos,Joe Allen,Michael (Mike) Sands,David Linn
Candace Avalos,Loretta Smith,Steph Routh,,,
Loretta Smith,,,,,
Loretta Smith,Terrence Hayes,Joe Allen,,,
David Linn,,,,,
Timur Ender,Noah Ernst,David Linn,Cayle Tern,Doug Clove,Terrence Hayes
Joe Furi,,,,,
Joe Allen,,,,,
,,,,,
Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
Terrence Hayes,Doug Clove,Loretta Smith,,,
Timur Ender,Peggy Sue Owens,Steph Routh,David Linn,Joe Furi,Cayle Tern
Terrence Hayes,Noah Ernst,,,,
Loretta Smith,Noah Ernst,,,,
Doug Clove,Deian Salazar,Thomas Shervey,Terrence Hayes,Joe Furi,Steph Routh
Steph Routh,Jamie Dunphy,Candace Avalos,,,
Timur Ender,Noah Ernst,Joe Allen,David Linn,Doug Clove,Michael (Mike) Sands
Terrence Hayes,Noah Ernst,Candace Avalos,,,
