RowNumber,Choice_1,Choice_2,Choice_3,Choice_4,Choice_5,Choice_6
54,Terrence Hayes,Loretta Smith,Noah Ernst,,,
58,Loretta Smith,Steph Routh,Timur Ender,David Linn,Candace Avalos,Jamie Dunphy
59,Loretta Smith,Steph Routh,Timur Ender,David Linn,Candace Avalos,Jamie Dunphy
124,Michael (Mike) Sands,Doug Clove,Joe Furi,Timur Ender,Deian Salazar,Loretta Smith
199,Timur Ender,Candace Avalos,Cayle Tern,Steph Routh,Michael (Mike) Sands,Jamie Dunphy
207,Loretta Smith,Candace Avalos,Peggy Sue Owens,Jamie Dunphy,Thomas Shervey,Timur Ender
278,Terrence Hayes,Loretta Smith,,,,
286,Loretta Smith,Doug Clove,Noah Ernst,,,
298,David Linn,Loretta Smith,Candace Avalos,Jamie Dunphy,Doug Clove,Cayle Tern
299,David Linn,Loretta Smith,Candace Avalos,Jamie Dunphy,Doug Clove,Cayle Tern
320,Deian Salazar,Candace Avalos,Peggy Sue Owens,Doug Clove,Michael (Mike) Sands,Jamie Dunphy
327,Joe Allen,David Linn,Joe Furi,Thomas Shervey,Doug Clove,
354,Deian Salazar,Joe Allen,Peggy Sue Owens,Doug Clove,Michael (Mike) Sands,Jamie Dunphy
379,Steph Routh,Candace Avalos,David Linn,Timur Ender,Jamie Dunphy,Cayle Tern
381,Jamie Dunphy,Candace Avalos,Steph Routh,,,
385,Candace Avalos,Timur Ender,Cayle Tern,Deian Salazar,Loretta Smith,Steph Routh
398,Michael (Mike) Sands,,,,,
417,Joe Furi,Loretta Smith,Candace Avalos,Peggy Sue Owens,Jamie Dunphy,David Linn
436,Peggy Sue Owens,Candace Avalos,Joe Furi,Deian Salazar,Jamie Dunphy,Cayle Tern
442,Jamie Dunphy,,,,,
445,Noah Ernst,Doug Clove,Joe Allen,Loretta Smith,Peggy Sue Owens,Joe Furi
517,Deian Salazar,Doug Clove,,,,
556,David Linn,,,,,
569,Candace Avalos,Jamie Dunphy,Timur Ender,Loretta Smith,Cayle Tern,
597,Terrence Hayes,Noah Ernst,Candace Avalos,,,
599,Terrence Hayes,Noah Ernst,Candace Avalos,,,
604,Loretta Smith,Timur Ender,Steph Routh,Candace Avalos,,
607,Steph Routh,Jamie Dunphy,Noah Ernst,Candace Avalos,Loretta Smith,Doug Clove
608,Steph Routh,Jamie Dunphy,Noah Ernst,Candace Avalos,Loretta Smith,Doug Clove
610,Noah Ernst,Loretta Smith,Terrence Hayes,,,
611,Terrence Hayes,Loretta Smith,Noah Ernst,Timur Ender,,
635,Jamie Dunphy,,,,,
645,Jamie Dunphy,Candace Avalos,Loretta Smith,Terrence Hayes,Steph Routh,Noah Ernst
646,Loretta Smith,Terrence Hayes,Candace Avalos,Steph Routh,Deian Salazar,Jamie Dunphy
649,Loretta Smith,Jamie Dunphy,Steph Routh,,,
650,Loretta Smith,Jamie Dunphy,Steph Routh,,,
664,Steph Routh,Candace Avalos,David Linn,Timur Ender,Jamie Dunphy,Cayle Tern
668,Candace Avalos,Loretta Smith,Steph Routh,,,
698,Candace Avalos,Jamie Dunphy,Peggy Sue Owens,Loretta Smith,Deian Salazar,Cayle Tern
795,Steph Routh,Thomas Shervey,Jamie Dunphy,Deian Salazar,David Linn,Noah Ernst
811,Steph Routh,,,,,
816,Jamie Dunphy,Timur Ender,Steph Routh,Loretta Smith,Cayle Tern,Terrence Hayes
831,Noah Ernst,Terrence Hayes,Joe Furi,Loretta Smith,Doug Clove,
836,Michael (Mike) Sands,Loretta Smith,Terrence Hayes,Jamie Dunphy,,
847,Noah Ernst,,,,,
855,Jamie Dunphy,Candace Avalos,David Linn,Steph Routh,Deian Salazar,Michael (Mike) Sands
856,Jamie Dunphy,Candace Avalos,David Linn,Steph Routh,Deian Salazar,Michael (Mike) Sands
862,Candace Avalos,Timur Ender,Joe Allen,Michael (Mike) Sands,Cayle Tern,
870,Jamie Dunphy,,,,,
871,Timur Ender,,,,,
876,Terrence Hayes,,,,,
891,Candace Avalos,Jamie Dunphy,Doug Clove,Terrence Hayes,David Linn,Thomas Shervey
897,Steph Routh,Thomas Shervey,Jamie Dunphy,Deian Salazar,David Linn,Noah Ernst
925,Loretta Smith,,,,,
956,Timur Ender,,,,,
981,Steph Routh,Candace Avalos,Jamie Dunphy,Michael (Mike) Sands,Cayle Tern,Deian Salazar
1027,,,,,,
1072,Steph Routh,Loretta Smith,,,,
1107,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
1144,Steph Routh,Candace Avalos,Timur Ender,Jamie Dunphy,Loretta Smith,Terrence Hayes
1157,Noah Ernst,Terrence Hayes,Loretta Smith,,,
1204,Joe Allen,Doug Clove,David Linn,Michael (Mike) Sands,Thomas Shervey,Steph Routh
1212,Loretta Smith,Steph Routh,Timur Ender,Terrence Hayes,Jamie Dunphy,Candace Avalos
1216,Candace Avalos,Cayle Tern,Timur Ender,Steph Routh,Jamie Dunphy,David Linn
1217,Candace Avalos,Cayle Tern,Timur Ender,Steph Routh,Jamie Dunphy,David Linn
1219,Noah Ernst,Doug Clove,,,,
1230,Jamie Dunphy,Candace Avalos,Steph Routh,Noah Ernst,David Linn,Loretta Smith
1282,Noah Ernst,Joe Allen,Doug Clove,Michael (Mike) Sands,,
1296,Noah Ernst,Joe Allen,David Linn,,,
1299,Loretta Smith,Terrence Hayes,Steph Routh,Candace Avalos,David Linn,Timur Ender
1300,Loretta Smith,Terrence Hayes,Steph Routh,Candace Avalos,David Linn,Timur Ender
1303,Candace Avalos,Cayle Tern,Timur Ender,Loretta Smith,Deian Salazar,Terrence Hayes
1304,Loretta Smith,Steph Routh,,,,
1398,Joe Allen,,,,,
1465,Loretta Smith,Thomas Shervey,,,,
1466,Jamie Dunphy,Steph Routh,Candace Avalos,Terrence Hayes,David Linn,Cayle Tern
1489,Timur Ender,Terrence Hayes,,,,
1504,Peggy Sue Owens,Noah Ernst,Joe Allen,,,
1517,Peggy Sue Owens,Candace Avalos,Loretta Smith,Steph Routh,Jamie Dunphy,Deian Salazar
1519,Loretta Smith,Peggy Sue Owens,Noah Ernst,Cayle Tern,David Linn,Michael (Mike) Sands
1520,Candace Avalos,Steph Routh,Timur Ender,Jamie Dunphy,,
1521,Candace Avalos,Peggy Sue Owens,Jamie Dunphy,,,
1522,Loretta Smith,Michael (Mike) Sands,Timur Ender,David Linn,Candace Avalos,Steph Routh
1535,Loretta Smith,Candace Avalos,Steph Routh,Jamie Dunphy,Deian Salazar,
1541,Noah Ernst,Deian Salazar,Jamie Dunphy,,,
1572,Noah Ernst,Loretta Smith,Steph Routh,Terrence Hayes,Joe Furi,Doug Clove
1590,Jamie Dunphy,Candace Avalos,Timur Ender,,,
1591,Loretta Smith,,,,,
1598,Doug Clove,Noah Ernst,Deian Salazar,,,
1622,Noah Ernst,Jamie Dunphy,Deian Salazar,,,
1623,Terrence Hayes,Thomas Shervey,Michael (Mike) Sands,David Linn,Joe Allen,Timur Ender
1635,Loretta Smith,Noah Ernst,,,,
